NPA/PLZ;PLZ_NAME;NAME;KT;MedStat;empty;empty2
1126;1126 Vaux-sur-Morges;Vaux-sur-Morges;VD;VD21;;
1127;1127 Clarmont;Clarmont;VD;VD21;;
1128;1128 Reverolle;Reverolle;VD;VD21;;
1131;1131 Tolochenaz;Tolochenaz;VD;VD22;;
1132;1132 Lully VD;Lully VD;VD;VD22;;
1133;1133 Lussy-Sur-Morges;Lussy-Sur-Morges;VD;VD22;;
1134;1134 Vufflens-le-Château;Vufflens-le-Château;VD;VD21;;
1135;1135 Denens;Denens;VD;VD22;;
1136;1136 Bussy-Chardonney;Bussy-Chardonney;VD;VD21;;
1137;1137 Yens;Yens;VD;VD21;;
1138;1138 Villars-sous-Yens;Villars-sous-Yens;VD;VD22;;
1141;1141 Sévery;Sévery;VD;VD49;;
1142;1142 Pampigny;Pampigny;VD;VD49;;
1143;1143 Apples;Apples;VD;VD21;;
1144;1144 Ballens;Ballens;VD;VD23;;
1145;1145 Bière;Bière;VD;VD23;;
1146;1146 Mollens VD;Mollens VD;VD;VD23;;
1147;1147 Montricher;Montricher;VD;VD49;;
1148;1148 L'Isle;L'Isle;VD;VD49;;
1149;1149 Berolle;Berolle;VD;VD23;;
1162;1162 St-Prex;St-Prex;VD;VD22;;
1163;1163 Etoy;Etoy;VD;VD24;;
1164;1164 Buchillon;Buchillon;VD;VD24;;
1165;1165 Allaman;Allaman;VD;VD24;;
1166;1166 Perroy;Perroy;VD;VD25;;
1167;1167 Lussy-sur-Morges;Lussy-sur-Morges;VD;VD22;;
1168;1168 Villars-sous-Yens;Villars-sous-Yens;VD;VD22;;
1169;1169 Yens;Yens;VD;VD21;;
1170;1170 Aubonne;Aubonne;VD;VD24;;
1172;1172 Bougy-Villars;Bougy-Villars;VD;VD25;;
1173;1173 Féchy;Féchy;VD;VD24;;
1174;1174 Montherod;Montherod;VD;VD23;;
1175;1175 Lavigny;Lavigny;VD;VD24;;
1176;1176 St-Livres;St-Livres;VD;VD24;;
1180;1180 Rolle;Rolle;VD;VD25;;
1182;1182 Gilly;Gilly;VD;VD25;;
1183;1183 Bursins;Bursins;VD;VD25;;
1184;1184 Luins;Luins;VD;VD25;;
1185;1185 Mont-sur-Rolle;Mont-sur-Rolle;VD;VD25;;
1186;1186 Essertines-sur-Rolle;Essertines-sur-Rolle;VD;VD23;;
1187;1187 St-Oyens;St-Oyens;VD;VD23;;
1188;1188 Gimel;Gimel;VD;VD23;;
1189;1189 Saubraz;Saubraz;VD;VD23;;
1195;1195 Dully;Dully;VD;VD25;;
1196;1196 Gland;Gland;VD;VD26;;
1197;1197 Prangins;Prangins;VD;VD29;;
1200;1200 Genève;Genève;GE;GE04;;
1201;1201 Genève;Genève;GE;GE01;;
1202;1202 Genève;Genève;GE;GE02;;
1203;1203 Genève;Genève;GE;GE03;;
1204;1204 Genève;Genève;GE;GE04;;
1205;1205 Genève;Genève;GE;GE05;;
1206;1206 Genève;Genève;GE;GE06;;
1207;1207 Genève;Genève;GE;GE07;;
1208;1208 Genève;Genève;GE;GE08;;
1209;1209 Genève;Genève;GE;GE09;;
1211;1211 Genève 1;Genève 1;GE;GE01;;
1212;1212 Grand-Lancy;Grand-Lancy;GE;GE10;;
1213;1213 Petit-Lancy;Petit-Lancy;GE;GE11;;
1214;1214 Vernier;Vernier;GE;GE12;;
1215;1215 Genève 15 Aéroport;Genève 15 Aéroport;GE;GE15;;
1216;1216 Cointrin;Cointrin;GE;GE13;;
1217;1217 Meyrin;Meyrin;GE;GE14;;
1218;1218 Le Grand-Saconnex;Le Grand-Saconnex;GE;GE15;;
1219;1219 Le Lignon;Le Lignon;GE;GE16;;
1220;1220 Les Avanchets;Les Avanchets;GE;GE13;;
1222;1222 Vésenaz;Vésenaz;GE;GE17;;
1223;1223 Cologny;Cologny;GE;GE17;;
1224;1224 Chêne-Bougeries;Chêne-Bougeries;GE;GE18;;
1225;1225 Chêne-Bourg;Chêne-Bourg;GE;GE19;;
1226;1226 Thônex;Thônex;GE;GE20;;
1227;1227 Carouge GE;Carouge GE;GE;GE21;;
1228;1228 Plan-les-Ouates;Plan-les-Ouates;GE;GE22;;
1231;1231 Conches;Conches;GE;GE18;;
1232;1232 Confignon;Confignon;GE;GE23;;
1233;1233 Bernex;Bernex;GE;GE23;;
1234;1234 Vessy;Vessy;GE;GE24;;
1236;1236 Cartigny;Cartigny;GE;GE25;;
1237;1237 Avully;Avully;GE;GE25;;
1239;1239 Collex;Collex;GE;GE26;;
1240;1240 Genève;Genève;GE;GE01;;
1241;1241 Puplinge;Puplinge;GE;GE27;;
1242;1242 Satigny;Satigny;GE;GE25;;
1243;1243 Presinge;Presinge;GE;GE27;;
1244;1244 Choulex;Choulex;GE;GE27;;
1245;1245 Collonge-Bellerive;Collonge-Bellerive;GE;GE28;;
1246;1246 Corsier GE;Corsier GE;GE;GE28;;
1247;1247 Anières;Anières;GE;GE28;;
1248;1248 Hermance;Hermance;GE;GE28;;
1251;1251 Gy;Gy;GE;GE27;;
1252;1252 Meinier;Meinier;GE;GE27;;
1253;1253 Vandoeuvres;Vandoeuvres;GE;GE27;;
1254;1254 Jussy;Jussy;GE;GE27;;
1255;1255 Veyrier;Veyrier;GE;GE24;;
1256;1256 Troinex;Troinex;GE;GE24;;
1257;1257 La Croix-de-Rozon;La Croix-de-Rozon;GE;GE22;;
1258;1258 Perly;Perly;GE;GE22;;
1260;1260 Nyon;Nyon;VD;VD27;;
1261;1261 Marchissy;Marchissy;VD;VD23;;
1262;1262 Eysins;Eysins;VD;VD28;;
1263;1263 Crassier;Crassier;VD;VD28;;
1264;1264 St-Cergue;St-Cergue;VD;VD30;;
1265;1265 La Cure;La Cure;VD;VD30;;
1266;1266 Duillier;Duillier;VD;VD29;;
1267;1267 Vich;Vich;VD;VD29;;
1268;1268 Begnins;Begnins;VD;VD29;;
1269;1269 Bassins;Bassins;VD;VD30;;
1270;1270 Trélex;Trélex;VD;VD30;;
1271;1271 Givrins;Givrins;VD;VD30;;
1272;1272 Genolier;Genolier;VD;VD30;;
1273;1273 Arzier-Le Muids;Arzier-Le Muids;VD;VD30;;
1274;1274 Signy;Signy;VD;VD28;;
1275;1275 Chéserex;Chéserex;VD;VD28;;
1276;1276 Gingins;Gingins;VD;VD28;;
1277;1277 Borex;Borex;VD;VD28;;
1278;1278 La Rippe;La Rippe;VD;VD28;;
1279;1279 Chavannes-de-Bogis;Chavannes-de-Bogis;VD;VD31;;
1281;1281 Russin;Russin;GE;GE25;;
1282;1282 Dardagny;Dardagny;GE;GE25;;
1283;1283 La Plaine;La Plaine;GE;GE25;;
1284;1284 Chancy;Chancy;GE;GE25;;
1285;1285 Athenaz (Avusy);Athenaz (Avusy);GE;GE25;;
1286;1286 Soral;Soral;GE;GE25;;
1287;1287 Laconnex;Laconnex;GE;GE25;;
1288;1288 Aire-la-Ville;Aire-la-Ville;GE;GE25;;
1289;1289 Genève Services Spéciaux;Genève Services Spéciaux;GE;GE01;;
1290;1290 Versoix;Versoix;GE;GE29;;
1291;1291 Commugny;Commugny;VD;VD31;;
1292;1292 Chambésy;Chambésy;GE;GE26;;
1293;1293 Bellevue;Bellevue;GE;GE26;;
1294;1294 Genthod;Genthod;GE;GE26;;
1295;1295 Mies;Mies;VD;VD31;;
1296;1296 Coppet;Coppet;VD;VD31;;
1297;1297 Founex;Founex;VD;VD31;;
1298;1298 Céligny;Céligny;GE;GE29;;
1299;1299 Crans-près-Céligny;Crans-près-Céligny;VD;VD28;;
1300;1300 Eclépens AVJ;Eclépens AVJ;VD;VD50;;
1302;1302 Vufflens-la-Ville;Vufflens-la-Ville;VD;VD46;;
1303;1303 Penthaz;Penthaz;VD;VD46;;
1304;1304 Cossonay-Ville;Cossonay-Ville;VD;VD49;;
1305;1305 Penthalaz;Penthalaz;VD;VD46;;
1306;1306 Daillens;Daillens;VD;VD46;;
1307;1307 Lussery-Villars;Lussery-Villars;VD;VD50;;
1308;1308 La Chaux (Cossonay);La Chaux (Cossonay);VD;VD49;;
1309;1309 Cuarnens;Cuarnens;VD;VD49;;
1310;1310 Daillens Centre Colis;Daillens Centre Colis;VD;VD50;;
1311;1311 Eclépens Scanning-Center;Eclépens Scanning-Center;VD;VD50;;
1312;1312 Eclépens;Eclépens;VD;VD50;;
1313;1313 Ferreyres;Ferreyres;VD;VD50;;
1314;1314 Moiry VD;Moiry VD;VD;VD49;;
1315;1315 La Sarraz;La Sarraz;VD;VD50;;
1316;1316 Chevilly;Chevilly;VD;VD49;;
1317;1317 Orny;Orny;VD;VD50;;
1318;1318 Pompaples;Pompaples;VD;VD50;;
1320;1320 Daillens ST PP 1;Daillens ST PP 1;VD;VD50;;
1321;1321 Arnex-sur-Orbe;Arnex-sur-Orbe;VD;VD50;;
1322;1322 Croy;Croy;VD;VD50;;
1323;1323 Romainmôtier;Romainmôtier;VD;VD50;;
1324;1324 Premier;Premier;VD;VD50;;
1325;1325 Vaulion;Vaulion;VD;VD50;;
1326;1326 Juriens;Juriens;VD;VD50;;
1327;1327 La Praz;La Praz;VD;VD49;;
1328;1328 Mont-La-Ville;Mont-La-Ville;VD;VD49;;
1329;1329 Bretonnières;Bretonnières;VD;VD50;;
1330;1330 Daillens CALL;Daillens CALL;VD;VD50;;
1337;1337 Vallorbe;Vallorbe;VD;VD58;;
1338;1338 Ballaigues;Ballaigues;VD;VD58;;
1340;1340 Daillens 2 x Weihnachten;Daillens 2 x Weihnachten;VD;VD46;;
1341;1341 Orient;Orient;VD;VD59;;
1342;1342 Le Pont;Le Pont;VD;VD59;;
1343;1343 Les Charbonnières;Les Charbonnières;VD;VD59;;
1344;1344 L'Abbaye;L'Abbaye;VD;VD59;;
1345;1345 Le Lieu;Le Lieu;VD;VD59;;
1346;1346 Les Bioux;Les Bioux;VD;VD59;;
1347;1347 Le Sentier;Le Sentier;VD;VD59;;
1348;1348 Le Brassus;Le Brassus;VD;VD59;;
1350;1350 Orbe;Orbe;VD;VD51;;
1352;1352 Agiez;Agiez;VD;VD50;;
1353;1353 Bofflens;Bofflens;VD;VD50;;
1354;1354 Montcherand;Montcherand;VD;VD51;;
1355;1355 L'Abergement;L'Abergement;VD;VD51;;
1356;1356 Les Clées;Les Clées;VD;VD51;;
1357;1357 Lignerolle;Lignerolle;VD;VD51;;
1358;1358 Valeyres-sous-Rances;Valeyres-sous-Rances;VD;VD51;;
1359;1359 Rances;Rances;VD;VD51;;
1372;1372 Bavois;Bavois;VD;VD52;;
1373;1373 Chavornay;Chavornay;VD;VD52;;
1374;1374 Corcelles-sur-Chavornay;Corcelles-sur-Chavornay;VD;VD52;;
1375;1375 Penthéréaz;Penthéréaz;VD;VD52;;
1376;1376 Goumoens-la-Ville;Goumoens-la-Ville;VD;VD52;;
1377;1377 Oulens-sous-Echallens;Oulens-sous-Echallens;VD;VD52;;
1400;1400 Yverdon-les-Bains;Yverdon-les-Bains;VD;VD53;;
1401;1401 Yverdon-les-Bains;Yverdon-les-Bains;VD;VD53;;
1404;1404 Cuarny;Cuarny;VD;VD54;;
1405;1405 Pomy;Pomy;VD;VD54;;
1406;1406 Cronay;Cronay;VD;VD54;;
1407;1407 Donneloye;Donneloye;VD;VD54;;
1408;1408 Prahins;Prahins;VD;VD54;;
1409;1409 Chanéaz;Chanéaz;VD;VD54;;
1410;1410 Thierrens;Thierrens;VD;VD60;;
1412;1412 Valeyres-sous-Ursins;Valeyres-sous-Ursins;VD;VD54;;
1413;1413 Orzens;Orzens;VD;VD54;;
1414;1414 Rueyres;Rueyres;VD;VD48;;
1415;1415 Molondin;Molondin;VD;VD54;;
1416;1416 Pailly;Pailly;VD;VD48;;
1417;1417 Essertines-sur-Yverdon;Essertines-sur-Yverdon;VD;VD48;;
1418;1418 Vuarrens;Vuarrens;VD;VD48;;
1420;1420 Fiez;Fiez;VD;VD55;;
1421;1421 Fontaines-sur-Grandson;Fontaines-sur-Grandson;VD;VD55;;
1422;1422 Grandson;Grandson;VD;VD56;;
1423;1423 Villars-Burquin;Villars-Burquin;VD;VD55;;
1424;1424 Champagne;Champagne;VD;VD55;;
1425;1425 Onnens VD;Onnens VD;VD;VD55;;
1426;1426 Concise;Concise;VD;VD55;;
1427;1427 Bonvillars;Bonvillars;VD;VD55;;
1428;1428 Provence;Provence;VD;VD55;;
1429;1429 Giez;Giez;VD;VD56;;
1430;1430 Orges;Orges;VD;VD56;;
1431;1431 Vugelles-La Mothe;Vugelles-La Mothe;VD;VD55;;
1432;1432 Belmont-sur-Yverdon;Belmont-sur-Yverdon;VD;VD54;;
1433;1433 Suchy;Suchy;VD;VD54;;
1434;1434 Ependes VD;Ependes VD;VD;VD54;;
1435;1435 Essert-Pittet;Essert-Pittet;VD;VD54;;
1436;1436 Treycovagnes;Treycovagnes;VD;VD56;;
1437;1437 Suscévaz;Suscévaz;VD;VD56;;
1438;1438 Mathod;Mathod;VD;VD56;;
1439;1439 Rances;Rances;VD;VD51;;
1440;1440 Montagny-Chamard;Montagny-Chamard;VD;VD56;;
1441;1441 Valeyres-sous-Montagny;Valeyres-sous-Montagny;VD;VD56;;
1442;1442 Montagny-près-Yverdon;Montagny-près-Yverdon;VD;VD56;;
1443;1443 Champvent;Champvent;VD;VD56;;
1445;1445 Vuiteboeuf;Vuiteboeuf;VD;VD56;;
1446;1446 Baulmes;Baulmes;VD;VD56;;
1450;1450 Ste-Croix;Ste-Croix;VD;VD57;;
1452;1452 Les Rasses;Les Rasses;VD;VD57;;
1453;1453 Bullet;Bullet;VD;VD57;;
1454;1454 L'Auberson;L'Auberson;VD;VD57;;
1462;1462 Yvonand;Yvonand;VD;VD54;;
1463;1463 Rovray;Rovray;VD;VD54;;
1464;1464 Chavannes-le-Chêne;Chavannes-le-Chêne;VD;VD54;;
1468;1468 Cheyres;Cheyres;FR;FR27;;
1470;1470 Estavayer-le-Lac;Estavayer-le-Lac;FR;FR28;;
1473;1473 Font;Font;FR;FR28;;
1474;1474 Châbles FR;Châbles FR;FR;FR27;;
1475;1475 Autavaux;Autavaux;FR;FR28;;
1482;1482 Cugy FR;Cugy FR;FR;FR27;;
1483;1483 Montet (Broye);Montet (Broye);FR;FR27;;
1484;1484 Aumont;Aumont;FR;FR27;;
1485;1485 Nuvilly;Nuvilly;FR;FR27;;
1486;1486 Vuissens;Vuissens;FR;FR27;;
1487;1487 Champtauroz;Champtauroz;VD;VD63;;
1488;1488 Treytorrens (Payerne);Treytorrens (Payerne);VD;VD63;;
1489;1489 Murist;Murist;FR;FR27;;
1499;1499 Yverdon-Les-Bains;Yverdon-Les-Bains;VD;VD53;;
1501;1501 Palézieux-Village;Palézieux-Village;VD;VD62;;
1502;1502 Châtillens;Châtillens;VD;VD62;;
1503;1503 Ecublens FR;Ecublens FR;FR;FR22;;
1509;1509 Vucherens;Vucherens;VD;VD61;;
1510;1510 Moudon;Moudon;VD;VD60;;
1512;1512 Chavannes-sur-Moudon;Chavannes-sur-Moudon;VD;VD60;;
1513;1513 Hermenches;Hermenches;VD;VD61;;
1514;1514 Bussy-sur-Moudon;Bussy-sur-Moudon;VD;VD60;;
1515;1515 Villars-le-Comte;Villars-le-Comte;VD;VD60;;
1516;1516 Denezy;Denezy;VD;VD60;;
1521;1521 Curtilles;Curtilles;VD;VD63;;
1522;1522 Lucens;Lucens;VD;VD63;;
1523;1523 Granges-près-Marnand;Granges-près-Marnand;VD;VD63;;
1524;1524 Marnand;Marnand;VD;VD63;;
1525;1525 Henniez;Henniez;VD;VD63;;
1526;1526 Forel-sur-Lucens;Forel-sur-Lucens;VD;VD63;;
1527;1527 Villeneuve FR;Villeneuve FR;FR;FR27;;
1528;1528 Surpierre;Surpierre;FR;FR27;;
1529;1529 Cheiry;Cheiry;FR;FR27;;
1530;1530 Payerne;Payerne;VD;VD64;;
1532;1532 Fétigny;Fétigny;FR;FR27;;
1533;1533 Ménières;Ménières;FR;FR27;;
1534;1534 Sassel;Sassel;VD;VD63;;
1535;1535 Combremont-le-Grand;Combremont-le-Grand;VD;VD63;;
1536;1536 Combremont-le-Petit;Combremont-le-Petit;VD;VD63;;
1537;1537 Champtauroz;Champtauroz;VD;VD63;;
1538;1538 Treytorrens (Payerne);Treytorrens (Payerne);VD;VD63;;
1541;1541 Bussy FR;Bussy FR;FR;FR28;;
1542;1542 Rueyres-les-Prés;Rueyres-les-Prés;FR;FR28;;
1543;1543 Grandcour;Grandcour;VD;VD64;;
1544;1544 Gletterens;Gletterens;FR;FR29;;
1545;1545 Chevroux;Chevroux;VD;VD64;;
1551;1551 Vers-chez-Perrin;Vers-chez-Perrin;VD;VD64;;
1552;1552 Trey;Trey;VD;VD63;;
1553;1553 Châtonnaye;Châtonnaye;FR;FR23;;
1554;1554 Sédeilles;Sédeilles;VD;VD63;;
1555;1555 Villarzel;Villarzel;VD;VD63;;
1556;1556 Villars-Bramard;Villars-Bramard;VD;VD63;;
1557;1557 Dompierre VD;Dompierre VD;VD;VD63;;
1562;1562 Corcelles-près-Payerne;Corcelles-près-Payerne;VD;VD64;;
1563;1563 Dompierre FR;Dompierre FR;FR;FR29;;
1564;1564 Domdidier;Domdidier;FR;FR29;;
1565;1565 Missy;Missy;FR;FR29;;
1566;1566 St-Aubin FR;St-Aubin FR;FR;FR29;;
1567;1567 Delley;Delley;FR;FR29;;
1568;1568 Portalban;Portalban;FR;FR29;;
1569;1569 Autavaux;Autavaux;FR;FR28;;
1580;1580 Avenches;Avenches;VD;VD01;;
1583;1583 Villarepos;Villarepos;FR;FR17;;
1584;1584 Villars-le-Grand;Villars-le-Grand;VD;VD01;;
1585;1585 Salavaux;Salavaux;VD;VD01;;
1586;1586 Vallamand;Vallamand;VD;VD01;;
1587;1587 Montmagny;Montmagny;VD;VD01;;
1588;1588 Cudrefin;Cudrefin;VD;VD01;;
1589;1589 Chabrey;Chabrey;VD;VD01;;
1595;1595 Faoug;Faoug;VD;VD01;;
1602;1602 La Croix (Lutry);La Croix (Lutry);VD;VD17;;
1603;1603 Grandvaux;Grandvaux;VD;VD33;;
1604;1604 Puidoux-Gare;Puidoux-Gare;VD;VD32;;
1605;1605 Chexbres;Chexbres;VD;VD32;;
1606;1606 Forel (Lavaux);Forel (Lavaux);VD;VD33;;
1607;1607 Palézieux;Palézieux;VD;VD62;;
1608;1608 Oron-le-Châtel;Oron-le-Châtel;VD;VD62;;
1609;1609 St-Martin FR;St-Martin FR;FR;FR24;;
1610;1610 Oron-la-Ville;Oron-la-Ville;VD;VD62;;
1611;1611 Le Crêt-près-Semsales;Le Crêt-près-Semsales;FR;FR24;;
1612;1612 Ecoteaux;Ecoteaux;VD;VD62;;
1613;1613 Maracon;Maracon;VD;VD62;;
1614;1614 Granges (Veveyse);Granges (Veveyse);FR;FR25;;
1615;1615 Bossonnens;Bossonnens;FR;FR25;;
1616;1616 Attalens;Attalens;FR;FR25;;
1617;1617 Remaufens;Remaufens;FR;FR25;;
1618;1618 Châtel-St-Denis;Châtel-St-Denis;FR;FR24;;
1619;1619 Les Paccots;Les Paccots;FR;FR24;;
1623;1623 Semsales;Semsales;FR;FR24;;
1624;1624 La Verrerie;La Verrerie;FR;FR24;;
1625;1625 Sâles (Gruyère);Sâles (Gruyère);FR;FR08;;
1626;1626 Romanens;Romanens;FR;FR08;;
1627;1627 Vaulruz;Vaulruz;FR;FR08;;
1628;1628 Vuadens;Vuadens;FR;FR08;;
1630;1630 Bulle;Bulle;FR;FR09;;
1631;1631 Bulle centre de traitement;Bulle centre de traitement;FR;FR09;;
1632;1632 Riaz;Riaz;FR;FR10;;
1633;1633 Marsens;Marsens;FR;FR10;;
1634;1634 La Roche FR;La Roche FR;FR;FR11;;
1635;1635 La Tour-de-Trême;La Tour-de-Trême;FR;FR09;;
1636;1636 Broc;Broc;FR;FR11;;
1637;1637 Charmey (Gruyère);Charmey (Gruyère);FR;FR11;;
1638;1638 Morlon;Morlon;FR;FR10;;
1641;1641 Vuippens;Vuippens;FR;FR10;;
1642;1642 Sorens;Sorens;FR;FR10;;
1643;1643 Gumefens;Gumefens;FR;FR10;;
1644;1644 Avry-devant-Pont;Avry-devant-Pont;FR;FR10;;
1645;1645 Le Bry;Le Bry;FR;FR10;;
1646;1646 Echarlens;Echarlens;FR;FR10;;
1647;1647 Corbières;Corbières;FR;FR11;;
1648;1648 Hauteville;Hauteville;FR;FR11;;
1649;1649 Pont-la-Ville;Pont-la-Ville;FR;FR11;;
1651;1651 Villarvolard;Villarvolard;FR;FR11;;
1652;1652 Botterens;Botterens;FR;FR11;;
1653;1653 Crésuz;Crésuz;FR;FR11;;
1654;1654 Cerniat FR;Cerniat FR;FR;FR11;;
1655;1655 Im Fang;Im Fang;FR;FR11;;
1656;1656 Jaun;Jaun;FR;FR11;;
1657;1657 Abländschen;Abländschen;BE;BE85;;
1658;1658 Rossinière;Rossinière;VD;VD45;;
1659;1659 Rougemont;Rougemont;VD;VD45;;
1660;1660 Château-d'Oex;Château-d'Oex;VD;VD45;;
1661;1661 Le Pâquier-Montbarry;Le Pâquier-Montbarry;FR;FR12;;
1662;1662 Pringy;Pringy;FR;FR12;;
1663;1663 Gruyères;Gruyères;FR;FR12;;
1664;1664 Epagny;Epagny;FR;FR12;;
1665;1665 Estavannens;Estavannens;FR;FR12;;
1666;1666 Grandvillard;Grandvillard;FR;FR12;;
1667;1667 Enney;Enney;FR;FR12;;
1668;1668 Neirivue;Neirivue;FR;FR12;;
1669;1669 Albeuve;Albeuve;FR;FR12;;
1670;1670 Ursy;Ursy;FR;FR22;;
1671;1671 Rue;Rue;FR;FR22;;
1673;1673 Promasens;Promasens;FR;FR22;;
1674;1674 Vuarmarens;Vuarmarens;FR;FR22;;
1675;1675 Vauderens;Vauderens;FR;FR22;;
1676;1676 Chavannes-les-Forts;Chavannes-les-Forts;FR;FR22;;
1677;1677 Prez-vers-Siviriez;Prez-vers-Siviriez;FR;FR22;;
1678;1678 Siviriez;Siviriez;FR;FR22;;
